LTE基站接入点数,地市,带宽,接入OLT个数,日峰值利用率,日峰值流速,日忙时均值利用率,日忙时均值流速,日期,是否接入LTE基站,是否接入OLT,环名称,环的总节点数,省,分类
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,焦作市小尚接入链2-焦作市中站区风神轮胎有限公司基站,1.0,河南,接入层
48.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,孟州接入环15-西虢-廉桥,10.0,河南,接入层
2.0,焦作,2,0.0,0.22025999999999998,220.26,0.20896,208.96,20200301,是,否,博爱接入环16-吕店-皂角树,6.0,河南,接入层
18.0,焦作,1,0.0,0.14884,148.84,0.14715999999999999,147.16,20200301,是,否,武陟县接入环29-商贸城2-兰封,2.0,河南,接入层
12.0,焦作,1,0.0,0.1421,142.1,0.13599,135.99,20200301,是,否,沁阳接入环19-白庄-双锌汽修,4.0,河南,接入层
0.0,焦作,1,0.0,0.01255,12.55,0.01045,10.45,20200301,否,否,生产楼接入环2-农信小区-市区图书馆-迎宾馆一号楼室分,1.0,河南,接入层
6.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,生产楼接入环2-农信小区-市区图书馆-美中城室分,3.0,河南,接入层
0.0,焦作,1,0.0,0.0125,12.5,0.01093,10.93,20200301,否,否,生产楼核心一链18-焦作市商业总行二楼机房(数据),1.0,河南,接入层
18.0,焦作,1,1.0,0.25987,259.87,0.25643,256.43,20200301,是,是,孟州接入环14-人民医院北-函丈北,7.0,河南,接入层
26.0,焦作,1,0.0,0.39807,398.07,0.33582,335.82,20200301,是,否,武陟县接入环47-张菜园-东大刘庄,7.0,河南,接入层
8.0,焦作,1,0.0,0.13915,139.15,0.11832,118.32,20200301,是,否,温县接入环17-西周-北冷,4.0,河南,接入层
0.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,否,否,高新区核心一链4-中华新天地住宅楼,1.0,河南,接入层
10.0,焦作,1,0.0,0.04008,40.08,0.02899,28.99,20200301,是,否,生产楼核心3链9-水利局VPN（数据）,1.0,河南,接入层
4.0,焦作,1,0.0,0.03131,31.31,0.02981,29.81,20200301,是,否,焦作市南北苑链10-焦煤医院室分,1.0,河南,接入层
50.0,焦作,10,0.0,0.00376,3.76,0.00256,2.56,20200301,是,否,武陟县接入环30-侯园二巷-和平饭店,10.0,河南,接入层
8.0,焦作,2,0.0,0.06466,64.66,0.06222,62.22,20200301,是,否,孟州接入环8-西虢汽校-红星村,3.0,河南,接入层
4.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,高新区核心一链3-1934-电子科技园,1.0,河南,接入层
16.0,焦作,1,0.0,0.00498,4.98,0.004940000000000001,4.94,20200301,是,否,沁阳接入环9-沁阳高村-大海科技,1.0,河南,接入层
22.0,焦作,1,0.0,0.0,0.0,0.0,0.0,20200301,是,否,沁阳接入环39-粮食局-交警队2-怀府数据,1.0,河南,接入层
12.0,焦作,1,0.0,0.0050999999999999995,5.1,0.0050999999999999995,5.1,20200301,是,否,武陟县接入环35-武陟机房数据3（集客）-武陟机房数据4（集客）,1.0,河南,接入层
18.0,焦作,3,0.0,0.30613999999999997,306.14,0.29085,290.85,20200301,是,否,修武县双跨接入环9-新公安局-修武地税局,6.0,河南,接入层
90.0,焦作,10,0.0,0.81123,811.23,0.7928,792.8,20200301,是,否,生产楼接入环2-农信小区-市区图书馆,11.0,河南,接入层
30.0,焦作,20,0.0,0.037329999999999995,37.33,0.03354,33.54,20200301,是,否,焦作市接入环双跨环10-市政广场-防疫站,7.0,河南,接入层
12.0,焦作,1,0.0,0.18978,189.78,0.18105000000000002,181.05,20200301,是,否,温县接入环14-徐吕-北冷村,6.0,河南,接入层
