PTN核心链路名称,地市,备注,日期,省,链路带宽(10GE/40GE),链路日峰值利用率(填百分数),链路日峰值流速(Mb),链路日忙时均值利用率(填百分数),链路日忙时均值流速(Mb),分类
	#@!JIZCORELINK(3)$:LTE骨干调度环9-焦作市:8011-武陟-L2/L3-子架1-5-TPA1EX8-1(PORT-1)-8012-澳通苑-L2/L3-子架1-5-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,4.08%,408.0,3.44%,344.14,核心链路
	#@!JIZCORELINK(3)$:LTE骨干调度环9-焦作市:8011-武陟-L2/L3-子架1-6-TPA1EX8-1(PORT-1)-8012-澳通苑-L2/L3-子架1-6-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,0.56%,56.0,0.13%,13.14,核心链路
	#@!JIZCORELINK(40)$焦作市核心调度环17-市区:1035-高新-子架1-4-TPA1EX8S-7(6-2-2)-8004-高新-2-L2/L3-子架1-2(GigabitEthernet6/2/2),焦作,0.0,20200302,河南,10,0.90%,90.0,0.37%,36.92,核心链路
	#@!JIZCORELINK(40)$焦作市核心调度环18-市区:1035-高新-子架1-4-TPA1EX8S-8(6-2-3)-8004-高新-2-L2/L3-子架1-3(GigabitEthernet6/2/3),焦作,0.0,20200302,河南,10,1.19%,119.0,0.90%,89.88,核心链路
	#@!JIZCORELINK(41)$焦作市核心调度环17-市区:1037-生产楼-子架1-10-TPA1EX8S-1(6-2-2)-8005-生产楼-2-L2/L3-子架1-2(GigabitEthernet6/2/2),焦作,0.0,20200302,河南,10,15.00%,1500.0,12.14%,1214.43,核心链路
	#@!JIZCORELINK(41)$焦作市核心调度环18-市区:1037-生产楼-子架1-10-TPA1EX8S-2(6-2-3)-8005-生产楼-2-L2/L3-子架1-3(GigabitEthernet6/2/3),焦作,0.0,20200302,河南,10,7.47%,747.0,5.36%,536.27,核心链路
	#@!JIZCORELINK(42)$焦作市区至郊县-10GE链路:1001-生产楼核心1-子架1-9-TPA1EX8S-4(PORT-4)-1014-生产楼核心4-子架1-3-TPA1EX8S-1(PORT-1),焦作,0.0,20200302,河南,10,33.00%,3300.0,29.13%,2912.76,核心链路
	#@!JIZCORELINK(43)$焦作市区至郊县-10GE链路:1000-高新核心1-子架1-9-TPA1EX8S-3(PORT-3)-1016-高新核心4-11-82EX2-1(PORT-1),焦作,0.0,20200302,河南,10,24.68%,2468.3,23.92%,2392.29,核心链路
	#@!JIZCORELINK(44)$焦作市核心落地环1-1011-生产楼落地一:1007-生产楼核心2替换-子架1-4-TPA1EX8S-4(1011-生产楼7-Ex2-1)-1011-生产楼落地1-子架1-3-TPA1EX8S-1(1007-生产楼13-EX2-2),焦作,0.0,20200302,河南,10,12.00%,1200.0,10.04%,1004.21,核心链路
	#@!JIZCORELINK(45)$焦作市核心落地环1-1011-生产楼落地一:1014-生产楼核心4-子架1-10-TPA1EX8S-3(1011-生产楼12-EX2-1)-1011-生产楼落地1-子架1-10-TPA1EX8S-1(1014-生产楼12-EX2-1),焦作,0.0,20200302,河南,10,15.00%,1500.0,11.95%,1194.75,核心链路
